tweet_id,hashtag
1647214085904138242,14Abril
1647213961929015297,BCN
1647212699544059905,NOTICIA
1647207870482489344,URGENTE
1647203600584646657,Barcelona
1647200357305446401,FARISTOLS
1647200357305446401,28M
1647199609188499459,URGENTE
1647199589475180545,FARISTOLS
1647199589475180545,28M
1647197389894107136,IA
1647197389894107136,UPC
1647197175489650688,Lawfare
1647194613575307266,Barcelona
1647189984661712896,ENTREVISTA
1647189765882535936,28M
1647189765882535936,MaragallMésQueMai
1647189765882535936,RepúblicaCatalana
1647189765882535936,ElFaxDe8tv
1647187677668581376,BarnaDiario
1647187677668581376,Barcelona
1647187469886955521,YoApoyoAAda
1647187155670687744,YoApoyoAAda
1647186785317863424,Lawfare
1647182483950034944,Lawfare
1647179894609027073,28M
1647179894609027073,Barcelona
1647178279202242561,URGENTE
1642711016344547330,Comunismo
1642711016344547330,Sumar2A
1642711016344547330,BuenasNoches
1642677332283457536,LaHora63
1642670845528080386,Pensamiento
1642668604632989697,TikTok
1642798573765926916,Economia
1642798573765926916,Politica
1642798573765926916,Noticias
1642792765015699458,Sumar2A
1642790131856818177,YoConPodemos
1642567114014728194,Sumar
1642564626297626624,Sumar
1642561092726452234,PSC
1642561092726452234,Colau
1642561092726452234,ERC
1642559505845067776,Comunes
1642559505845067776,IU
1642559505845067776,PCE
1642559505845067776,MásPaís
1642559505845067776,MásMadrid
1642559505845067776,Compromís
1642554381433274368,AquíParlem
1642554381433274368,BCN
1642553376117256194,Sumar
1642058001459687428,Tripartit
1642057696969912320,Tripartit
1642056240673988609,eleccionsbarcelona2023
1642049762206666752,SinComplejos
1642048372038160384,Deezer
1642039871593238528,Barcelona
1642806014129893377,Economia
1642804342234251264,Economia
1642854206359969792,EnJakeETB
1642853141803614208,ESPAÑA
1643146507128897538,28M
1643141274159947776,sitocanauna
1643141274159947776,respondemostodxs
1646580327324811283,AlertaLazi
1646580311889772549,Barcelona
1646571820156346368,AlertaLazi
1646567002713083904,ElVespre
1646563083798577190,Esplugues
1646562964785201152,elSubjetivo
1646558559671316480,Barcelona
1646558167877156874,Barcelona
1646558167877156874,progessief
1646558167877156874,woke
1646555556100833280,Barcelo
1646550174481670146,yolandadiaz
1646549491112108037,elSubjetivo
1646545977367470080,elSubjetivo
1646540020080164871,Barcelona
1646540020080164871,MaragallMésQueMai
1646539238559629313,OpinióLaMarina
1646538669119995905,Barcelona
1646536903938678784,elSubjetivo
1646534292942585856,Video
1646534292942585856,EsNoticia
1646534292942585856,Barcelona
1646533353602990080,Video
1646533353602990080,EsNoticia
1646533353602990080,Barcelona
1646530818742034435,NOATHEDISTRICT
1646522153154809863,BarcelonaSilenciosa
1646521852393840640,IA
1646521852393840640,UPC
1646519866273460226,LaMirilla
1646514369579335683,BoicotProductosCatalanes
1646510358654500864,BoicotProductosCatalanes
1645772265416454144,URGENTE
1645768108957638656,BCN
1645762109286805505,URGENTE
1645760251105255425,BCN
1645760193693638656,BCN
1645758372396822528,PARERA
1645758372396822528,VALENTS
1645749813521072128,URGENTE
1645747106966061058,Barcelona
1645746710319095813,AdaColau
1645746710319095813,discapacitat
1645746710319095813,BCN
1645746710319095813,28M
1645744036811091968,IA
1645744036811091968,UPC
1645743948453781506,IA
1645743948453781506,UPC
1645733303297748992,BCN
1645730214868049921,BCN
1645729389617770498,BCN
1645724515148652544,URGENTE
1645723895410880513,TrobadesNL
1645723477070999552,URGENTE
1645714939053473794,ForumEuropa
1645714939053473794,TribunaCatalunya
1645708404302704646,IA
1645708404302704646,UPC
1645707611264675840,trasparencia
1647630937394491392,ENTREVISTA
1647630937394491392,EleccionsBarcelona2023
1647628392437624838,URGENTE
1647623128695095296,ÚLTIMAHORA
1647622307991502849,MésSingulars
1647620290401169411,ÚLTIMAHORA
1647616537304416256,lawfare
1647613709043335169,MésSingulars
1647612650619011072,Barcelona
1647609382711046148,lawfare
1647605369810681856,MésSingulars
1647604850908078080,MésSingulars
1647604507289993216,MésSingulars
1647603303927234561,ÚLTIMAHORA
1647597804339052547,ÚLTIMAHORA
1647595135381696520,ÚLTIMAHORA
1647594765590970370,ÚLTIMAHORA
1647593835994796033,ÚLTIMAHORA
1647591654021365760,ÚLTIMAHORA
1647589493413670913,lawfare
1647584868560166912,ÚLTIMAHORA
1647584622207705089,guarralona
